Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Comparison,Original_ID
ABHD8,31.659815815408837,-1.0130224670958003,0.5740965271660577,-1.7645507665695792,0.07763929611359809,0.17433083394007226,Sarcoidosis_vs_Control,ABHD8
ABI1,804.7198141635984,1.156201195431112,0.34802535955838304,3.3221751337265797,0.0008931861293715864,0.005530600673804974,Sarcoidosis_vs_Control,ABI1
ABI2,63.21237408856227,-0.28421613805582213,0.34543508526160127,-0.8227772747536126,0.4106346620887876,0.56335423395945,Sarcoidosis_vs_Control,ABI2
ABI3,380.33726372563126,0.8298606754056113,0.24590371057719085,3.374738321181666,0.0007388591033779039,0.004725349325172679,Sarcoidosis_vs_Control,ABI3
ABI3BP,0.35798840618538175,-0.48569584261017895,5.166007447010066,-0.09401764275258362,0.925095141923594,,Sarcoidosis_vs_Control,ABI3BP
ABL1,93.59195210152134,-0.5225606946991956,0.3286512451762038,-1.5900158674859994,0.11183122841921721,0.22590388446602072,Sarcoidosis_vs_Control,ABL1
ABL2,66.81121625733961,1.5420352738356338,0.28176279396840026,5.472813681740298,4.4294574949680705e-08,1.213585344737854e-06,Sarcoidosis_vs_Control,ABL2
ABLIM1,58.80840914677837,0.3087841504504891,0.5698369778650308,0.5418815598934796,0.5879001007330553,0.7167314328841915,Sarcoidosis_vs_Control,ABLIM1
ABLIM2,0.1531775672685672,0.1671438524126546,5.9375319239969215,0.028150392208778168,0.9775422028085198,,Sarcoidosis_vs_Control,ABLIM2
ABLIM3,32.14374374817087,0.41319974803893383,0.6803465638319155,0.6073371572741827,0.5436271840766622,0.6808458508662335,Sarcoidosis_vs_Control,ABLIM3
ABO,0.8663259278567945,2.416618414984453,2.425053132728801,0.9965218420864633,0.31899665989846426,,Sarcoidosis_vs_Control,ABO
ABP1,7.185827027448534,-2.259567507887418,2.041522297584986,-1.1068052063699565,0.2683781567720922,,Sarcoidosis_vs_Control,ABP1
ABR,6.066788880572972,-4.4970705613263,3.4998468943615126,-1.284933511969161,0.19881551905453898,,Sarcoidosis_vs_Control,ABR
ABRA,0.40649492162730116,2.289234888243451,2.904770775381194,0.7880948499087794,0.4306412274143254,,Sarcoidosis_vs_Control,ABRA
ABT1,164.7835228789568,-0.8536421458628337,0.27412168949566246,-3.114099243417735,0.001845074173915225,0.009884763775583796,Sarcoidosis_vs_Control,ABT1
ABTB1,3129.094783424832,1.0646875399602103,0.18312603833644928,5.8139604265566405,6.1011843466319145e-09,2.1863545684057476e-07,Sarcoidosis_vs_Control,ABTB1
ABTB2,12.240781600433335,1.9998019526448378,0.6896996317786771,2.899525910268384,0.00373727455123278,0.017346363130886354,Sarcoidosis_vs_Control,ABTB2
ACAA1,273.8132943500414,-0.22497828660385621,0.35190029340067136,-0.639323952900765,0.5226122092498233,0.661944189633304,Sarcoidosis_vs_Control,ACAA1
ACAA2,225.78383115656274,0.3154018683122892,0.2819698493486568,1.1185659354745179,0.2633253627160369,0.4161447271788815,Sarcoidosis_vs_Control,ACAA2
ACACA,44.094825073543156,-0.6392912901396421,0.4765039564768394,-1.341628503709423,0.17971647939567648,0.31757723128654186,Sarcoidosis_vs_Control,ACACA
ACACB,57.289142314095706,-0.08662102736906487,0.47129282659524374,-0.18379449565324454,0.8541746744127647,0.9087581267456446,Sarcoidosis_vs_Control,ACACB
ACAD10,35.73309889087947,-0.21975634351690757,0.48007000065672173,-0.45775895851914783,0.6471256246204546,0.7623541630142804,Sarcoidosis_vs_Control,ACAD10
ACAD8,95.00933255078078,1.0240992916723903,0.2720608594147849,3.764228687196217,0.00016706394359499878,0.0013557281058952883,Sarcoidosis_vs_Control,ACAD8
ACAD9,70.11596409667536,-0.1879059403236132,0.34613595760777355,-0.5428674374724749,0.5872210772185651,0.7164452572031089,Sarcoidosis_vs_Control,ACAD9
ACADL,0.0765887836342836,0.4877380483346433,5.954393187957517,0.08191230120998237,0.934716452362472,,Sarcoidosis_vs_Control,ACADL
ACADM,68.71173921339094,0.3234984755491706,0.36376879184893085,0.8892969457465608,0.37384351253338177,0.528285624621534,Sarcoidosis_vs_Control,ACADM
ACADS,22.8197983817125,-1.0602021877379793,0.6911705874388434,-1.533922604644673,0.12504869420517123,0.24574332524163872,Sarcoidosis_vs_Control,ACADS
ACADSB,57.37664889810791,-1.4191222110153796,0.45950477346310964,-3.0883731638302794,0.0020125558254238674,0.010563607913045427,Sarcoidosis_vs_Control,ACADSB
ACADVL,105.1490361268454,1.0246082021110916,0.5087745356648802,2.0138747721957158,0.044022682825758136,0.11405279865438554,Sarcoidosis_vs_Control,ACADVL
ACAN,0.09384682276240784,0.48773804833464257,5.954393187957517,0.08191230120998225,0.9347164523624721,,Sarcoidosis_vs_Control,ACAN
ACAP1,411.21940244601694,0.43726182993015494,0.24736329354386757,1.7676908471976285,0.07711260096156107,0.1735340988146135,Sarcoidosis_vs_Control,ACAP1
ACAP2,930.928565323944,-0.5125804000821482,0.26477506552075064,-1.9359088782549159,0.052878862188419036,0.13055491848848805,Sarcoidosis_vs_Control,ACAP2
ACAP3,47.01501922446138,-0.6421600523180346,0.5531930549542434,-1.1608245016220422,0.24571327674040622,0.3965686676516204,Sarcoidosis_vs_Control,ACAP3
ACAT1,77.44583870198156,0.35954302018030243,0.34809337395188744,1.0328924566946727,0.30165422926094276,0.45647422648640523,Sarcoidosis_vs_Control,ACAT1
ACAT2,50.968644664171286,0.18991136774503103,0.46792162658831765,0.40586148823618506,0.684844376383055,0.791980670076009,Sarcoidosis_vs_Control,ACAT2
ACBD3,222.5946687063606,-1.7314269960328204,0.2838769973042645,-6.09921554925088,1.0659025598928975e-09,4.4895179462951595e-08,Sarcoidosis_vs_Control,ACBD3
