Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Comparison,Original_ID
PRKX,170.27530714935966,-1.7123389139371286,0.46942199461789436,-3.6477602957887783,0.0002645362598527735,0.0020162628637529424,Sarcoidosis_vs_Control,PRKX
PRKY,19.91301962273604,4.173190646684902,3.661503936073335,1.1397476882573856,0.2543914332466293,0.406105288995609,Sarcoidosis_vs_Control,PRKY
PRL,1.2941203049412082,0.4033499720875093,1.9526407559999421,0.20656640032126894,0.8363485029373137,,Sarcoidosis_vs_Control,PRL
PRLH,0.07956709340061643,0.48773804833464224,5.954393187957517,0.08191230120998219,0.9347164523624722,,Sarcoidosis_vs_Control,PRLH
PRLHR,0.19602259200039612,0.16714430152460172,5.712503982691208,0.02925937592884769,0.9766577263316765,,Sarcoidosis_vs_Control,PRLHR
PRLR,5.300120859125533,-0.14639378154394186,1.079568794615004,-0.13560393953045746,0.8921343909294258,,Sarcoidosis_vs_Control,PRLR
PRM1,0.16685116484041523,0.1671438524126538,5.9375319239969215,0.028150392208778036,0.9775422028085199,,Sarcoidosis_vs_Control,PRM1
PRM2,0.0,,,,,,Sarcoidosis_vs_Control,PRM2
PRM3,1.0576872049571373,-1.9299090166714428,3.657338343218004,-0.5276812904800495,0.5977205610735264,,Sarcoidosis_vs_Control,PRM3
PRMT1,146.2907951954337,-0.25421454519719,0.25521262415142115,-0.9960892257679269,0.31920679433999366,0.47554524145570126,Sarcoidosis_vs_Control,PRMT1
PRMT10,50.12766683808339,-0.5142133496020042,0.414954129760462,-1.2392052825184336,0.21526948478053387,0.3621403791658221,Sarcoidosis_vs_Control,PRMT10
PRMT2,79.72064698878131,0.0458695334690438,0.3330374805664965,0.13773084456145823,0.8904531412724926,0.9334699582486105,Sarcoidosis_vs_Control,PRMT2
PRMT3,94.98866895657257,0.2814729561268961,0.3174307234530895,0.8867224730642455,0.3752283360359395,0.5294471821467107,Sarcoidosis_vs_Control,PRMT3
PRMT5,354.75766177130026,0.37189672127093987,0.21335188861032825,1.743114268607119,0.0813136566910556,0.17986842185550375,Sarcoidosis_vs_Control,PRMT5
PRMT6,33.21052971817544,-0.9503415697651193,0.5470939869839936,-1.7370718603656006,0.08237448756435158,0.1814328225612489,Sarcoidosis_vs_Control,PRMT6
PRMT7,114.81628893129576,0.8714076837940762,0.28319565290982185,3.0770517655917513,0.0020905899208202875,0.010844935214255242,Sarcoidosis_vs_Control,PRMT7
PRMT8,0.07898421128914049,0.48773804833464224,5.954393187957517,0.08191230120998219,0.9347164523624722,,Sarcoidosis_vs_Control,PRMT8
PRND,0.0,,,,,,Sarcoidosis_vs_Control,PRND
PRNP,3.3043800278182247,1.5732541169159653,1.0461129945371996,1.5039045735322052,0.13260593924899391,,Sarcoidosis_vs_Control,PRNP
PROC,7.485849201734624,-0.21831701261505687,0.8661226829020311,-0.25206245826926477,0.8009927871797341,,Sarcoidosis_vs_Control,PROC
PROCA1,24.771317470570896,0.46503736325137235,0.5520795933353059,0.8423375340535936,0.3995990471880576,0.5533890374995454,Sarcoidosis_vs_Control,PROCA1
PROCR,4.064554132438901,-1.4271211127926091,1.6389795441719828,-0.8707375988109692,0.38389744401512127,,Sarcoidosis_vs_Control,PROCR
PRODH,0.29128758261098453,0.1671438524126534,5.9375319239969215,0.02815039220877797,0.9775422028085199,,Sarcoidosis_vs_Control,PRODH
PRODH2,0.08786695355127475,0.48773804833464224,5.954393187957517,0.08191230120998219,0.9347164523624722,,Sarcoidosis_vs_Control,PRODH2
PROK1,0.0,,,,,,Sarcoidosis_vs_Control,PROK1
PROK2,424.6317172571022,-1.0947318116763194,0.5178459454000959,-2.114010588285117,0.03451436298156926,0.09520970902638169,Sarcoidosis_vs_Control,PROK2
